openxai_eval,dataset,model,shap,random,lime,vnla,sg,itg,ig,ground_truth,ranked_columns,id
FA,german,lr,0.4573143628668787,0.48708277165353475,0.9550433223335949,0.9666666666666667,0.9666666666666667,0.44700136686471614,0.9666666666666667,legacy,"['ig', 'sg', 'vnla', 'lime', 'random', 'shap', 'itg']",FA_legacy
PGI,german,lr,0.10021281242370605,0.08699240535497665,0.08388456702232361,0.0449952632188797,0.04504656419157982,0.09562233835458755,0.08582229912281036,legacy,"['shap', 'itg', 'random', 'ig', 'lime', 'sg', 'vnla']",PGI_legacy
PGU,german,lr,0.10128631442785263,0.08700533956289291,0.0902828648686409,0.11579586565494537,0.11624956876039505,0.10320653766393661,0.08829738199710846,legacy,"['random', 'ig', 'lime', 'shap', 'itg', 'vnla', 'sg']",PGU_legacy
SA,german,lr,0.2708782225769354,0.2989908094893089,0.955027785610431,0.6044277189673298,0.6044277189673298,0.139390652176773,0.6911666666666669,legacy,"['lime', 'ig', 'sg', 'vnla', 'random', 'shap', 'itg']",SA_legacy
RA,german,lr,0.008444134419394105,0.018115633583006906,0.7114894965774696,0.9666666666666667,0.9666666666666667,0.0030346938464436684,0.9666666666666667,legacy,"['ig', 'sg', 'vnla', 'lime', 'random', 'shap', 'itg']",RA_legacy
RC,german,lr,-0.04403396313790869,0.004004186348059645,0.9648324441974622,0.9666666666666665,0.9666666666666665,0.06068693210890123,0.9666666666666665,legacy,"['ig', 'sg', 'vnla', 'lime', 'itg', 'random', 'shap']",RC_legacy
SRA,german,lr,0.004668340125662483,0.011592184957565033,0.711482434430577,0.6044277189673298,0.6044277189673298,0.001864790744995177,0.6911666666666669,legacy,"['lime', 'ig', 'sg', 'vnla', 'random', 'shap', 'itg']",SRA_legacy
PRA,german,lr,0.47685612052730686,0.4844146892655367,0.9561944444444441,0.9666666666666667,0.9666666666666667,0.4464115819209039,0.9666666666666667,legacy,"['ig', 'sg', 'vnla', 'lime', 'random', 'shap', 'itg']",PRA_legacy
PGI,german,ann,0.06411069631576538,0.05814163759350777,0.04553288593888283,0.022618943825364113,0.022611049935221672,0.06101401895284653,0.05167403444647789,legacy,"['shap', 'itg', 'random', 'ig', 'lime', 'vnla', 'sg']",PGI_legacy
PGU,german,ann,0.07802178710699081,0.058359429240226746,0.06542374193668365,0.08839590847492218,0.08855753391981125,0.07834429293870926,0.05911608040332794,legacy,"['random', 'ig', 'lime', 'shap', 'itg', 'vnla', 'sg']",PGU_legacy
FA,heloc,lr,0.5035655271588008,0.4153679297131011,0.8629090937907122,0.8695652173913043,0.8695652173913043,0.5017687542514401,0.8695652173913043,legacy,"['ig', 'sg', 'vnla', 'lime', 'shap', 'itg', 'random']",FA_legacy
PGI,heloc,lr,0.2335362583398819,0.2315475046634674,0.267740935087204,0.12384417653083801,0.1238844022154808,0.23239706456661224,0.23535379767417908,legacy,"['lime', 'ig', 'shap', 'itg', 'random', 'sg', 'vnla']",PGI_legacy
PGU,heloc,lr,0.23104119300842285,0.22195282578468323,0.20027554035186768,0.27426648139953613,0.27456554770469666,0.23143801093101501,0.23354297876358032,legacy,"['lime', 'random', 'shap', 'itg', 'ig', 'vnla', 'sg']",PGU_legacy
SA,heloc,lr,0.23257675706623124,0.1356725235620635,0.8628587753694527,0.2366575677653884,0.2366575677653884,0.2267997931683488,0.41695101816180513,legacy,"['lime', 'ig', 'sg', 'vnla', 'shap', 'itg', 'random']",SA_legacy
RA,heloc,lr,0.04710763644909849,0.0400987172075364,0.6167136306834887,0.8695652173913043,0.8695652173913043,0.04664002320008631,0.8695652173913043,legacy,"['ig', 'sg', 'vnla', 'lime', 'shap', 'itg', 'random']",RA_legacy
RC,heloc,lr,0.3306388282818615,-0.0010632998405485305,0.8646550692732885,0.8695652173913043,0.8695652173913043,0.33917719999436946,0.8695652173913043,legacy,"['ig', 'sg', 'vnla', 'lime', 'itg', 'shap', 'random']",RC_legacy
SRA,heloc,lr,0.021932675085318418,0.010291301081679532,0.616676940167987,0.2366575677653884,0.2366575677653884,0.0217444617105883,0.41695101816180513,legacy,"['lime', 'ig', 'sg', 'vnla', 'shap', 'itg', 'random']",SRA_legacy
PRA,heloc,lr,0.560315509428955,0.43438495891894946,0.8537862654203493,0.8695652173913043,0.8695652173913043,0.5578008314099817,0.8695652173913043,legacy,"['ig', 'sg', 'vnla', 'lime', 'shap', 'itg', 'random']",PRA_legacy
PGI,heloc,ann,0.2951493561267853,0.29796820878982544,0.32450127601623535,0.26770684123039246,0.26668471097946167,0.3029216527938843,0.3084942102432251,legacy,"['lime', 'ig', 'itg', 'random', 'shap', 'vnla', 'sg']",PGI_legacy
PGU,heloc,ann,0.29699280858039856,0.28353002667427063,0.2968699634075165,0.3142891824245453,0.3147760331630707,0.28691914677619934,0.3049723207950592,legacy,"['random', 'itg', 'lime', 'shap', 'ig', 'vnla', 'sg']",PGU_legacy
FA,compas,lr,0.48490264121843063,0.3585656448814343,0.6946982841719683,0.7142857142857142,0.7142857142857142,0.5029188355504144,0.7142857142857142,legacy,"['ig', 'sg', 'vnla', 'lime', 'itg', 'shap', 'random']",FA_legacy
PGI,compas,lr,0.1543329507112503,0.15775784850120544,0.18782281875610352,0.05676305666565895,0.05691390112042427,0.16003620624542236,0.18481913208961487,legacy,"['lime', 'ig', 'itg', 'random', 'shap', 'sg', 'vnla']",PGI_legacy
PGU,compas,lr,0.18444985151290894,0.15790991485118866,0.1698032021522522,0.21163471043109894,0.21153707802295685,0.18082579970359802,0.17249518632888794,legacy,"['random', 'lime', 'ig', 'itg', 'shap', 'sg', 'vnla']",PGU_legacy
SA,compas,lr,0.37828802776171194,0.10358395989974936,0.6946886446886447,0.2666666666666666,0.2666666666666666,0.3731328320802005,0.5818392134181608,legacy,"['lime', 'ig', 'shap', 'itg', 'sg', 'vnla', 'random']",SA_legacy
RA,compas,lr,0.24945247734721415,0.10244842876421824,0.6109504530557162,0.7142857142857142,0.7142857142857142,0.2555735492577597,0.7142857142857142,legacy,"['ig', 'sg', 'vnla', 'lime', 'itg', 'shap', 'random']",RA_legacy
RC,compas,lr,0.34222919937205654,0.004255143352887715,0.7035652317607203,0.7142857142857142,0.7142857142857142,0.3820850552723011,0.7142857142857142,legacy,"['ig', 'sg', 'vnla', 'lime', 'itg', 'shap', 'random']",RC_legacy
SRA,compas,lr,0.22100250626566414,0.039514170040485824,0.6109408135723925,0.2666666666666666,0.2666666666666666,0.22069211490264118,0.5818392134181608,legacy,"['lime', 'ig', 'sg', 'vnla', 'shap', 'itg', 'random']",SRA_legacy
PRA,compas,lr,0.4991875292627172,0.3583959899749374,0.7005976479660689,0.7142857142857142,0.7142857142857142,0.4929080944118538,0.7142857142857142,legacy,"['ig', 'sg', 'vnla', 'lime', 'shap', 'itg', 'random']",PRA_legacy
PGI,compas,ann,0.12945972383022308,0.14823518693447113,0.13920092582702637,0.07185224443674088,0.07193303853273392,0.13882191479206085,0.1445591151714325,legacy,"['random', 'ig', 'lime', 'itg', 'shap', 'sg', 'vnla']",PGI_legacy
PGU,compas,ann,0.1931617110967636,0.14791998267173767,0.20374298095703125,0.17947085201740265,0.17969411611557007,0.19424687325954437,0.19923464953899384,legacy,"['random', 'vnla', 'sg', 'shap', 'itg', 'ig', 'lime']",PGU_legacy
FA,adult,lr,0.4560622646194785,0.3551685535765138,0.7154132177017748,0.7686495925301896,0.7686495925301896,0.4227224087257255,0.7692307692307693,legacy,"['ig', 'sg', 'vnla', 'lime', 'shap', 'itg', 'random']",FA_legacy
PGI,adult,lr,0.21776431798934937,0.23063772916793823,0.10725761950016022,0.060497645288705826,0.06041505187749863,0.21211469173431396,0.2674092650413513,legacy,"['ig', 'random', 'shap', 'itg', 'lime', 'vnla', 'sg']",PGI_legacy
PGU,adult,lr,0.23258936405181885,0.20539531111717224,0.31404292583465576,0.32182741165161133,0.3220081329345703,0.2393214851617813,0.14670483767986298,legacy,"['ig', 'random', 'shap', 'itg', 'lime', 'vnla', 'sg']",PGU_legacy
SA,adult,lr,0.12453673714038556,0.27291385108963884,0.7129279147852945,0.5949055919205173,0.5949055919205173,0.09176210191135564,0.19067057873028023,legacy,"['lime', 'sg', 'vnla', 'random', 'ig', 'shap', 'itg']",SA_legacy
RA,adult,lr,0.0827486744568005,0.06043759814904093,0.6063101298922193,0.7673610634804665,0.7673610634804665,0.05979877256825847,0.7692307692307693,legacy,"['ig', 'sg', 'vnla', 'lime', 'shap', 'random', 'itg']",RA_legacy
RC,adult,lr,0.29206040801907623,-0.000860261480238518,0.7082232306112906,0.7690036714146931,0.7690036714146931,0.21620458214272706,0.7692307692307692,legacy,"['ig', 'sg', 'vnla', 'lime', 'shap', 'itg', 'random']",RC_legacy
SRA,adult,lr,0.01285095593553305,0.047385673720665426,0.6055140216334245,0.5942195781001751,0.5942195781001751,0.007759402319932999,0.19067057873028023,legacy,"['lime', 'sg', 'vnla', 'ig', 'random', 'shap', 'itg']",SRA_legacy
PRA,adult,lr,0.505105417466688,0.3843700629004877,0.7021314640908977,0.7688775059613178,0.7688775059613178,0.4460036002324559,0.7692307692307693,legacy,"['ig', 'sg', 'vnla', 'lime', 'shap', 'itg', 'random']",PRA_legacy
PGI,adult,ann,0.2139822393655777,0.22091194987297058,0.12632349133491516,0.08542659878730774,0.08526434749364853,0.21621215343475342,0.24562707543373108,legacy,"['ig', 'random', 'itg', 'shap', 'lime', 'vnla', 'sg']",PGI_legacy
PGU,adult,ann,0.22606511414051056,0.20058202743530273,0.2735956311225891,0.28902873396873474,0.28926339745521545,0.2122192084789276,0.1447768211364746,legacy,"['ig', 'random', 'itg', 'shap', 'lime', 'vnla', 'sg']",PGU_legacy
